Emiten_Code,URL,Directors,Commissioners,No,Kode Saham,Nama Perusahaan,Secretary,Email Address,Phone Number,Director,Comissioners,Audit Committee,Shareholders,Subsidiary,Public Accountant,Total Subsidiary
DKFT,https://www.idx.co.id/en/listed-companies/company-profiles/DKFT,"['NAME | POSITION | AFFILIATED', ' KIKI HAMIDJAJA | PRESIDENT DIRECTOR | NO', ' FENI SILVIANI BUDIMAN | DIRECTOR | NO', ' ANDI JAYA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' KURNIADI ATMOSASMITO | PRESIDENT COMMISIONER | NO', ' LIM ANTHONY | COMMISSIONER | NO', ' MUHAMMAD RUSJDI | COMMISSIONER | YES', ' CHANG ENG THING | COMMISSIONER | NO']",265,DKFT,Central Omega Resources Tbk.,Yohanes Supriady,corsec@centralomega.com,021-29035625,Director Name Position Affiliated Kiki Hamidjaja PRESIDENT DIRECTOR NoFeni Silviani Budiman DIRECTOR NoAndi Jaya - DIRECTOR - No,Comissioners Name Position Independent Kurniadi Atmosasmito PRESIDENT COMMISIONER NoLim Anthony COMMISSIONER NoMuhammad Rusjdi COMMISSIONER YesChang Eng Thing - COMMISSIONER - No,[''],"['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE KIKI HAMIDJAJA - DIRECTOR - 142,399,972 - 2.53% ', ' FENI SILVIANI BUDIMAN - DIRECTOR - 13,010,600 - 0.23% ', ' ANDI JAYA - DIRECTOR - 63,766 - 0% ', ' PT JINSHENG MINING - MORE THAN 5% - 3,475,113,878 - 61.63% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 124,760,725 - 2.21% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 13,000,000 - 0.23% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,869,897,659 - 33.17%']","['PT AFIT LINTAS JAYA | PERTAMBANGAN | 54,554,614,031 | 75', 'PT AFIT LINTAS JAYA | PERTAMBANGAN | 90,573,737,909 | 75', 'PT AFIT LINTAS JAYA | PERTAMBANGAN | 99,801,706,336 | 75', 'PT AFIT LINTAS JAYA | PERTAMBANGAN | 101,333,445,590 | 75', 'PT AFIT LINTAS JAYA | PERTAMBANGAN | 102,386,615,564 | 40', 'PT BUMI KONAWE ABADI | PERTAMBANGAN | 111,638,631,904 | 99.80', 'PT BUMI KONAWE ABADI | PERTAMBANGAN | 116,993,187,948 | 99.80', 'PT BUMI KONAWE ABADI | PERTAMBANGAN | 98,270,674,738 | 99.80', 'PT BUMI KONAWE ABADI | PERTAMBANGAN | 80,892,743,610 | 99.80', 'PT BUMI KONAWE ABADI | PERTAMBANGAN | 48,858,964,978 | 99.80']",,40
DKHH,https://www.idx.co.id/en/listed-companies/company-profiles/DKHH,"['NAME | POSITION | AFFILIATED', ' SATRIA MUHAMMAD WILIS | PRESIDENT DIRECTOR | NO', ' OCTEN SUHADI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' IQBAL RAHIM WILIS | PRESIDENT COMMISIONER | NO', ' ABDULLAH SAYIDI | COMMISSIONER | YES', ' MOHAMMAD LUTHFI | COMMISSIONER | YES']",266,DKHH,Cipta Sarana Medika Tbk.,Heri Akhyar,corsec@dkhhospitals.com,(0266) 7160071/68,Director Name Position Affiliated Satria Muhammad Wilis PRESIDENT DIRECTOR NoOcten Suhadi - DIRECTOR - No,Comissioners Name Position Independent Iqbal Rahim Wilis PRESIDENT COMMISIONER NoAbdullah Sayidi COMMISSIONER YesMohammad Luthfi - COMMISSIONER - Yes,"['ABDULLAH SAYIDI - HEAD ', ' MOHAMMAD LUTHFI - MEMBER ', ' DAUD ACHMAD - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT SILIWANGI DJAJAKUSUMAH HOSPITALS - MORE THAN 5% - 2,019,998,000 - 79.21% ', ' IQBAL RAHIM WILIS - COMMISIONER - 2,000 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 530,078,941 - 20.79%']","['PT AS-SHOFWAN TUNGGAL MANDIRI | KESEHATAN | 44,336,845,471 | 99', 'PT MUTIARA PERSADA ABADI | KESEHATAN | 69,839,716,564 | 99.99']","KAP JAMALUDIN, ARDI, SUKIMTO DAN REKAN",2
DLTA,https://www.idx.co.id/en/listed-companies/company-profiles/DLTA,"['NAME | POSITION | AFFILIATED', ' WEBSTER  ANDRES GONZALES | PRESIDENT DIRECTOR | NO', ' MA JOE DE CASTRO PERUCHO | DIRECTOR | NO', ' BRIAN RAYMUND RESPICIO | DIRECTOR | NO', ' RONNY TITIHERUW | DIRECTOR | NO', ' JOSEMAR BARRETTO CLIMACO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ROY TUMPAL PAKPAHAN | PRESIDENT COMMISIONER | NO', ' CARLOS ANTONIO MAYO BERBA | COMMISSIONER | NO', ' KATSUHISA NOSE | COMMISSIONER | NO', ' REYNATO SERRANO PUNO | COMMISSIONER | YES', ' SAMUEL NITISAPUTRA | COMMISSIONER | YES']",267,DLTA,Delta Djakarta Tbk.,Ma. Joe De Castro Perucho,investor_relation@deltajkt.co.id,021-8822520,,,[''],[''],"['PT,JANGKAR DELTA INDONESIA | DISTRIBUSI | 9,383,180 | 90']",,1
DMAS,https://www.idx.co.id/en/listed-companies/company-profiles/DMAS,"['NAME | POSITION | AFFILIATED', ' HONGKY JEFFRY NANTUNG | PRESIDENT DIRECTOR | NO', ' ATSUSHI UEHARA | VICE PRESIDEN DIRECTOR | NO', ' MONIK WILLIAM | DIRECTOR | NO', ' TONDY SUWANTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' MUKTAR WIDJAJA | PRESIDENT COMMISIONER | NO', ' HERMAWAN WIJAYA | VICE PRESIDENT COMMISIONER | NO', ' MASAYOSHI HIROSE | VICE PRESIDENT COMMISIONER | NO', ' SEIJI ITAGAKI | COMMISSIONER | NO', ' TEDDY PAWITRA | COMMISSIONER | YES', ' SUSIYATI BAMBANG HIRAWAN | COMMISSIONER | YES']",268,DMAS,Puradelta Lestari Tbk.,Tondy Suwanto,corsec@deltamas.co.id,(62) (21) 690 8684,Director Name Position Affiliated Hongky Jeffry Nantung PRESIDENT DIRECTOR NoAtsushi Uehara VICE PRESIDEN DIRECTOR NoMonik William DIRECTOR NoTondy Suwanto - DIRECTOR - No,Comissioners Name Position Independent Muktar Widjaja PRESIDENT COMMISIONER NoHermawan Wijaya VICE PRESIDENT COMMISIONER NoMasayoshi Hirose VICE PRESIDENT COMMISIONER NoSeiji Itagaki COMMISSIONER NoTeddy Pawitra COMMISSIONER YesSusiyati Bambang Hirawan - COMMISSIONER - Yes,['TEDDY PAWITRA - HEAD'],[''],"['PT PEMBANGUNAN DELTAMAS | PEMBANGUNAN PERUMAHAN DENGAN PROYEK BERLOKASI DI CIKARANG | 4,188,675,606,610 | 99.90']",,1
DMMX,https://www.idx.co.id/en/listed-companies/company-profiles/DMMX,"['NAME | POSITION | AFFILIATED', ' BUDIASTO KUSUMA | PRESIDENT DIRECTOR | NO', ' SUPARDI TAN | DIRECTOR | NO', ' ABRAHAM THEOFILUS | DIRECTOR | NO', ' HELENA LIE | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' SURYANDY JAHJA | PRESIDENT COMMISIONER | NO', ' HARTONO FRANCESCO | COMMISSIONER | NO', ' BALAKRISHNAN ANANDA RAJA | COMMISSIONER | YES']",269,DMMX,Digital Mediatama Maxima Tbk.,Risa Pramesti,corsec@dmmgroup.id,(021) 27883335,Director Name Position Affiliated Budiasto Kusuma PRESIDENT DIRECTOR NoSupardi Tan DIRECTOR NoAbraham Theofilus DIRECTOR NoHelena Lie - DIRECTOR - No,Comissioners Name Position Independent Suryandy Jahja PRESIDENT COMMISIONER NoHartono Francesco COMMISSIONER NoBalakrishnan Ananda Raja - COMMISSIONER - Yes,"['ANANDA RAJA - HEAD ', ' AULIA NANDA TRISYA - MEMBER ', ' RICARDO ANDREW PHEANTO - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE ABRAHAM THEOFILUS - DIRECTOR - 0 - 0% ', ' ANANDA RAJA - COMMISIONER - 0 - 0% ', ' HARTONO FRANSCESCO - COMMISIONER - 248,144,400 - 3.23% ', ' SURYANDY JAHJA - COMMISIONER - 10,404,300 - 0.14% ', ' BUDIASTO KUSUMA - DIRECTOR - 5,100,000 - 0.07% ', ' SUPARDI TAN - DIRECTOR - 31,608,100 - 0.41% ', ' BANK OF SINGAPORE LIMITED - MORE THAN 5% - 1,068,254,200 - 13.89% ', ' PT JAYA DISTRIBUSI RITEL - MORE THAN 5% - 1,446,731,400 - 18.81% ', ' PT SOTERIA WICAKSANA INVESTAMA - MORE THAN 5% - 788,295,100 - 10.25% ', ' PT NFC INDONESIA TBK. - MORE THAN 5% - 2,126,868,400 - 27.65% ', ' HELENA LIE - DIRECTOR - 285,000 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 432,872,500 - 5.63% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,533,744,300 - 19.92%']","['PT BLDX KOMIK NUSANTARA | TELEKOMUNIKASI, E-COMMERCE DAN PLATFORM DIGITAL | 441,940,779 | 50', 'PT BUMILANGIT DIGITAL MEDIATAMA | PERDAGANGAN, TELEKOMUNIKASI, PEMROGRAMAN KOMPUTER DAN TEKNOLOGI INFORMASI DAN JASA KOMPUTER LAINNYA | 1,803,609,336 | 50', 'PT DIGITAL CONSUMER ENGAGEMENT | PERDAGANGAN PERALATAN KOMUNIKASI DAN JASA KONSULTASI TEKNOLOGI INFORMASI | 135,308,056,910 | 99', 'PT DIGITAL MAXIMA INDONESIA | PERDAGANGAN PERALATAN KOMUNIKASI DAN JASA KONSULTASI TEKNOLOGI INFORMASI | 131,963,401,177 | 99.49', 'PT DMMX DEKTOS INTI | PERDAGANGAN PERALATAN TELEKOMUNIKASI, TELEKOMUNIKASI LAINNYA, PEMROGRAMAN KOMPUTER LAINNYA, DAN TEKNOLOGI INFORMASI DAN JASA KOMPUTER LAINNYA | 43,801,652,753 | 46', 'PT DMMX DISTRIBUSI PENTABENUA | E-COMMERCE DAN PLATFORM DIGITAL | 42,289,926,737 | 80', 'PT DMMX GAMINDO GLOBAL | PERDAGANGAN, TELEKOMUNIKASI, PEMROGRAMAN KOMPUTER DAN TEKNOLOGI INFORMASI DAN JASA KOMPUTER LAINNYA | 2,810,664,284 | 51', 'PT DMMX GROSIR DIGITAL | PERDAGANGAN PERALATAN KOMUNIKASI DAN JASA KONSULTASI TEKNOLOGI INFORMASI | 499,581,973 | 51', 'PT DMMX HERA SUKSES | E-COMMERCE DAN PLATFORM DIGITAL | 9,988,145,000 | 51', 'PT DMMX MEDIA MAXIMA | PERDAGANGAN, E-COMMERCE, TELEKOMUNIKASI, PLATFORM DIGITAL DAN PERIKLANAN | 5,632,520,000 | 99']","KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & REKAN",14
DMND,https://www.idx.co.id/en/listed-companies/company-profiles/DMND,"['NAME | POSITION | AFFILIATED', ' PHILIP MIN LIH CHEN | PRESIDENT DIRECTOR | NO', ' IR. WIDIANTO JUWONO | DIRECTOR | NO', ' TROY PARWATA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' CHEN TSEN NAN | PRESIDENT COMMISIONER | NO', ' LIM BENG LIN | COMMISSIONER | YES', ' C. TEDJO ENDRIYARTO | COMMISSIONER | YES', ' WU QIANFEI | COMMISSIONER | YES', ' NAKRIN NARULA | COMMISSIONER | YES', ' DR. IBRAHIM HASAN | VICE PRESIDENT COMMISIONER | NO', ' ISTINI TATIEK SIDDHARTA | COMMISSIONER | YES']",270,DMND,Diamond Food Indonesia Tbk.,Arinta Meidia Harsono,corporate.secretary@diamond.co.id,(021) 28649888,Director Name Position Affiliated Philip Min Lih Chen PRESIDENT - DIRECTOR - No | Widianto Juwono DIRECTOR NoTroy Parwata - DIRECTOR - No,Comissioners Name Position Independent Chen Tsen Nan PRESIDENT COMMISIONER NoLim Beng Lin - COMMISSIONER - Yes | Tedjo Endriyarto COMMISSIONER YesWu Qianfei COMMISSIONER YesNakrin Narula - COMMISSIONER - Yes | Ibrahim Hasan VICE PRESIDENT COMMISIONER NoIstini Tatiek Siddharta - COMMISSIONER - Yes,"['C. TEDJO ENDRIYARTO - HEAD ', ' ISTAMA TATANG SIDHARTA - MEMBER ', ' LIM BENG LIN - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE CHEN TSEN NAN - COMMISIONER - 3,306,889,113 - 34.93% ', ' KENNETH CHEN - MORE THAN 5% - 1,881,573,854 - 19.87% ', ' CHEN WAI SIOE - MORE THAN 5% - 971,832,425 - 10.26% ', ' ASTRAWATI ALUWI - MORE THAN 5% - 657,855,795 - 6.95% ', ' ANDERSON INVESTMENT PTE. LTD. - MORE THAN 5% - 1,892,724,964 - 19.99% ', ' CHEN TSEN NAN - COMMISIONER - 3,306,889,113 - 34.93% ', ' KENNETH CHEN - MORE THAN 5% - 1,881,573,854 - 19.87% ', ' CHEN WAI SIOE - MORE THAN 5% - 971,832,425 - 10.26% ', ' ASTRAWATI ALUWI - MORE THAN 5% - 657,855,795 - 6.95% ', ' ANDERSON INVESTMENT PTE. LTD. - MORE THAN 5% - 1,892,724,964 - 19.99% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 757,482,849 - 8%']","['PT DIAMOND COLD STORAGE | PRODUKSI DAN PEMROSESAN PRODUK BERBAHAN DASAR SUSU DAN PRODUK MAKANAN BEKU | 2,110,875 | 99.94', 'PT DIAMOND COLD STORAGE | PRODUKSI DAN PEMROSESAN PRODUK BERBAHAN DASAR SUSU DAN PRODUK MAKANAN BEKU | 2,337,217 | 99.94', 'PT DIAMOND COLD STORAGE | PRODUKSI DAN PEMROSESAN PRODUK BERBAHAN DASAR SUSU DAN MAKANAN BEKU | 2,325,890 | 99.94', 'PT DIAMOND COLD STORAGE | PRODUKSI DAN PEMROSESAN PRODUK BERBAHAN DASAR SUSU DAN PRODUK MAKANAN BEKU | 2,322,742 | 99.94', 'PT DIAMOND COLD STORAGE | PRODUKSI DAN PEMROSESAN PRODUK BERBAHAN DASAR SUSU DAN PRODUK MAKANAN BEKU | 2,322,742 | 99.94', 'PT DIAMONDFAIR RITEL INDONESIA | RITEL PRODUK MAKANAN DAN MINUMAN | 41,089 | 70', 'PT DIAMONDFAIR RITEL INDONESIA | RITEL PRODUK MAKANAN DAN MINUMAN | 44,239 | 70', 'PT DIAMONDFAIR RITEL INDONESIA | RITEL PRODUK MAKANAN DAN MINUMAN | 51,076 | 70', 'PT DIAMONDFAIR RITEL INDONESIA | RITEL PRODUK MAKANAN DAN MINUMAN | 44,726 | 70', 'PT DIAMONDFAIR RITEL INDONESIA | RITEL PRODUK MAKANAN DAN MINUMAN | 44,726 | 70']",SIDDHARTA WIDJAJA & REKANSIDDHARTA & WIDJAJA,30
DNAR,https://www.idx.co.id/en/listed-companies/company-profiles/DNAR,"['NAME | POSITION | AFFILIATED', ' KANG BONG JOO | PRESIDENT DIRECTOR | NO', ' HENDRA LIE | VICE PRESIDEN DIRECTOR | NO', ' VINCENTIA M DJUNIWATI WIJAYA | DIRECTOR | NO', ' EFDINAL ALAMSYAH | DIRECTOR | NO', ' JONG HA LEE | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' SANG TON SIM | PRESIDENT COMMISIONER | NO', ' SONDANG MARTHA SAMOSIR | COMMISSIONER | YES', ' CHAIRUDIN | COMMISSIONER | YES']",271,DNAR,Bank Oke Indonesia Tbk.,Efdinal Alamsyah,efdinal.alamsyah@okbank.co.id,021-2312633,Director Name Position Affiliated KANG BONG JOO PRESIDENT DIRECTOR NoHENDRA LIE VICE PRESIDEN DIRECTOR NoVINCENTIA M DJUNIWATI WIJAYA DIRECTOR NoEFDINAL ALAMSYAH DIRECTOR NoJONG HA LEE - DIRECTOR - No,Comissioners Name Position Independent SANG TON SIM PRESIDENT COMMISIONER NoSONDANG MARTHA SAMOSIR COMMISSIONER YesCHAIRUDIN - COMMISSIONER - Yes,"['CHAIRUDIN - HEAD ', ' SONDANG MARTHA SAMOSIR - MEMBER ', ' JOYO - MEMBER ', ' IWAN YUDA PRAMUDHI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE OK NEXT CO.,LTD (FORMERLY APRO FINANCIAL CO., LTD) - MORE THAN 5% - 15,288,673,243 - 90.51% ', ' HENDRA LIE - DIRECTOR - 0 - 0% ', ' SANG TON SIM - COMMISIONER - 0 - 0% ', ' SONDANG MARTHA SAMOSIR, SE., MM - COMMISIONER - 0 - 0% ', ' KANG BONG JOO - DIRECTOR - 0 - 0% ', ' VM DJUNI WIJAYA - DIRECTOR - 0 - 0% ', ' CHAIRUDIN - COMMISIONER - 0 - 0% ', ' EFDINAL ALAMSYAH - DIRECTOR - 0 - 0% ', ' JONG HA LEE - DIRECTOR - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 161,500,000 - 0.95% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,271,717,942 - 7.53%']",[''],,0
DNET,https://www.idx.co.id/en/listed-companies/company-profiles/DNET,"['NAME | POSITION | AFFILIATED', ' HALIMAN KUSTEDJO | PRESIDENT DIRECTOR | NO', ' CHRISTIAN RAHARDI | DIRECTOR | NO', ' KIKI YANTO GUNAWAN | DIRECTOR | NO', ' HARJONO WREKSOREMBOKO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' DJISMAN SIMANDJUNTAK | PRESIDENT COMMISIONER | NO', ' SOEDARSONO | COMMISSIONER | NO', ' FERRY NOVIAR YOSAPUTRA | COMMISSIONER | NO', ' JANIMIRANTI INGGAWATI | COMMISSIONER | YES', ' ADI PRANOTO LEMAN | COMMISSIONER | YES', ' TIMOTIUS | COMMISSIONER | YES']",272,DNET,Indoritel Makmur Internasional Tbk.,Kiki Yanto Gunawan,corsec@indoritel.co.id,021-29410709,Director Name Position Affiliated Haliman Kustedjo PRESIDENT DIRECTOR NoChristian Rahardi DIRECTOR NoKiki Yanto Gunawan DIRECTOR NoHarjono Wreksoremboko - DIRECTOR - No,Comissioners Name Position Independent Djisman Simandjuntak PRESIDENT COMMISIONER NoSoedarsono COMMISSIONER NoFerry Noviar Yosaputra COMMISSIONER NoJanimiranti Inggawati COMMISSIONER YesAdi Pranoto Leman COMMISSIONER YesTimotius - COMMISSIONER - Yes,"['DR TIMOTIUS - HEAD ', ' DENNY SUSILO - MEMBER']",[''],"['FIBERSTAR PTE. LTD. | DORMANT | 0 | 100', 'PT. INDORITEL PERSADA NUSANTARA | INVESTASI | 29,119 | 99.99', 'PT. MEGA AKSES PERSADA | SERAT OPTIK | 5,101,013 | 71.97']",,3
DOID,https://www.idx.co.id/en/listed-companies/company-profiles/DOID,"['NAME | POSITION | AFFILIATED', ' RONALD SUTARDJA | PRESIDENT DIRECTOR | NO', ' IWAN FUAD SALIM | DIRECTOR | NO', ' DIAN PARAMITA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ASHISH GUPTA | COMMISSIONER | NO', ' HAMID AWALUDIN | PRESIDENT COMMISIONER | YES', ' NURDIN ZAINAL | COMMISSIONER | YES', ' DIAN SOFIA ANDYASURI | COMMISSIONER | NO']",273,DOID,BUMA Internasional Grup Tbk.,Olga Oktavia Patuwo,"ir@deltadunia.com, corpsec@deltadunia.com",02130432080,Director Name Position Affiliated Ronald Sutardja PRESIDENT DIRECTOR NoIwan Fuad Salim DIRECTOR NoDian Paramita - DIRECTOR - No,Comissioners Name Position Independent Ashish Gupta COMMISSIONER NoHamid Awaludin PRESIDENT COMMISIONER YesNurdin Zainal COMMISSIONER YesDian Sofia Andyasuri - COMMISSIONER - No,"['NURDIN ZAINAL - HEAD ', ' TATAN ACHMAD TAUFIK - MEMBER ', ' WILLEM LUCAS TIMMERMANS - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE NORTHSTAR TAMBANG PERSADA LTD. - MORE THAN 5% - 2,924,000,000 - 38.22% ', ' RONALD SUTARDJA - DIRECTOR - 222,760,000 - 2.91% ', ' SIX SIS LTD - MORE THAN 5% - 432,100,000 - 5.65% ', ' ASHISH GUPTA - COMMISIONER - 200,000,000 - 2.61% ', ' DIAN SOFIA ANDYASURI - COMMISIONER - 35,000,000 - 0.46% ', ' IWAN FUAD SALIM - DIRECTOR - 17,500,000 - 0.23% ', ' PT TRIMEGAH SEKURITAS INDONESIA TBK - MORE THAN 5% - 504,580,000 - 6.59% ', ' DIAN PARAMITA - DIRECTOR - 15,000,000 - 0.2% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 293,837,700 - 3.84% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 1,000,000 - 0.01% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 3,005,229,432 - 39.28%']","['AMERICAN ANTHRACITE GROUP, LLC | JASA KONSULTASI MANAJEMEN | 210,397,203 | 70.99', 'AMERICAN ANTHRACITE HOLDINGS, LLC | JASA KONSULTASI MANAJEMEN | 210,397,203 | 70.99', 'AMERICAN ANTHRACITE SPV I, LLC | JASA KONSULTASI MANAJEMEN | 210,397,203 | 70.99', 'AMERICAN CARBON WAREHOUSING, LLC | PERTAMBANGAN BATUBARA | 0 | 70.99', 'ATLANTIC CARBON GROUP, INC. | PERTAMBANGAN BATUBARA | 166,331,239 | 70.99', 'BUKIT MAKMUR MANDIRI UTAMA PTE. LTD. | JASA KONSULTASI MANAJEMEN | 72,333,174 | 100', 'BUMA AUSTRALIA PTY. LTD. | JASA PERTAMBANGAN | 260,096,319 | 99.99', 'EBERVALE MINING DIVISION, LLC | PERTAMBANGAN BATUBARA | 0 | 70.99', 'HAZLETON SHAFT DIVISION, LLC | PERTAMBANGAN BATUBARA | 0 | 70.99', 'MOURA MATERIALS BIDCO PTY. LTD. | JASA KONSULTASI MANAJEMEN | 1,975,209 | 100']",,24
DOOH,https://www.idx.co.id/en/listed-companies/company-profiles/DOOH,"['NAME | POSITION | AFFILIATED', ' VICKTOR ARITONANG | PRESIDENT DIRECTOR | NO', ' DEVI NISA SUHARTONO | DIRECTOR | NO', ' DIANA AIRIN | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' GEGER NURYAMAN MAULANA | PRESIDENT COMMISIONER | NO', ' LEONARDUS CHRISBIANTORO | COMMISSIONER | NO']",274,DOOH,Era Media Sejahtera Tbk.,Devi Nisa Suhartono,	corporate@sspace.id,(021)7654937,Director Name Position Affiliated Vicktor Aritonang PRESIDENT DIRECTOR NoDevi Nisa Suhartono DIRECTOR NoDiana Airin - DIRECTOR - No,Comissioners Name Position Independent Geger Nuryaman Maulana PRESIDENT COMMISIONER NoLeonardus Chrisbiantoro - COMMISSIONER - No,"['LEONARDUS CHRISBIANTORO - HEAD ', ' RADHA WULANDARI - MEMBER ', ' IRMANSYAH - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT PRAMBANAN INVESTASI SUKSES - MORE THAN 5% - 5,440,789,800 - 70.305% ', ' FAYSAL DENI RAHMAN - MORE THAN 5% - 24,000,000 - 0.31% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 2,274,101,236 - 29.385%']","['PT ERA MAJU MEDIA | PERIKLANAN | 14,801,319,027 | 99', 'PT KONSULTAN STRATEGI PENJUALAN | PROFESIONAL, ILMIAH DAN TEKNIS | 30,893,051,093 | 99', 'PT MEDIA SEJAHTERA SELARAS | AKTIVITAS PROFESIONAL, ILMIAH, DAN TEKNIS | 6,819,722,953 | 99', 'PT TRIUSLIVE INOVASI INDONESIA | AKTIVITAS PERUSAHAAN | 10,327,400,121 | 50']",MORHAN & REKAN,4
DOSS,https://www.idx.co.id/en/listed-companies/company-profiles/DOSS,"['NAME | POSITION | AFFILIATED', ' TAHIR MATULATAN | PRESIDENT DIRECTOR | NO', ' EDDY YULIANTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' IMELDA GOENAWANG | PRESIDENT COMMISIONER | NO', ' RIKA YULIANA KRISTIAN ASTRIANI | COMMISSIONER | YES']",275,DOSS,Global Sukses Digital Tbk.,Caroline Thalia,corsec@globalsuksesdigital.com,087841065258,Director Name Position Affiliated Tahir Matulatan PRESIDENT DIRECTOR NoEddy Yulianto - DIRECTOR - No,Comissioners Name Position Independent Imelda Goenawang PRESIDENT COMMISIONER NoRika Yuliana Kristian Astriani - COMMISSIONER - Yes,['RIKA YULIANA KRISTIANI ASTRIANI - HEAD'],[''],"['PT DISTRIBUSI SELALU SUKSES | PERDAGANGAN ALAT FOTOGRAFI DAN BARANG OPTIK | 968,395,461 | 99.90', 'PT DISTRIBUSI SELALU SUKSES | PERDAGANGAN ALAT FOTOGRAFI DAN BARANG OPTIK | 968,395,461 | 99.90', 'PT DISTRIBUSI SELALU SUKSES | PERDAGANGAN ALAT FOTOGRAFI DAN BARANG OPTIK | 1,137,056,584 | 99.90', 'PT GAMBAR MASA DEPAN | JASA DESAIN KHUSUS FILM, VIDEO, PROGRAM TV, ANIMASI DAN KOMIK | 6,024,806,023 | 52', 'PT GAMBAR MASA DEPAN | JASA DESAIN KHUSUS FILM, VIDEO, PROGRAM TV, ANIMASI DAN KOMIK | 7,033,410,713 | 52', 'PT GAMBAR MASA DEPAN | JASA DESAIN KHUSUS FILM, VIDEO, PROGRAM TV, ANIMASI DAN KOMIK | 7,033,410,713 | 52', 'PT KREASI IMAJI INTEGRASI | JASA DESAIN KHUSUS FILM, VIDEO, PROGRAM TV, ANIMASI DAN KOMIK | 313,568,255 | 51', 'PT KREASI IMAJI INTEGRASI | JASA DESAIN KHUSUS FILM, VIDEO, PROGRAM TV, ANIMASI DAN KOMIK | 313,568,255 | 51', 'PT KREASI IMAJI INTEGRASI | JASA DESAIN KHUSUS FILM, VIDEO, PROGRAM TV, ANIMASI DAN KOMIK | 589,535,200 | 51']",HELIANTONO & REKAN,9
